Student_ID,Q1_Matric_Subject,Q2_Intermediate_Program,Q3_Grade_Bucket,Q4_Math_Aptitude,Q5_Verbal_Skills,Q6_Creative_Interest,Q7_Tech_Orientation,Q8_Study_Duration,Q9_Work_Environment,Q10_Career_Track
15,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),3,4,2,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
16,Arts / Humanities,FSc Pre-Medical,70% – 80% (A Grade),1,5,4,1,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Social Sciences & Law
17,Science with Biology,ICS (Intermediate in Computer Science),60% – 70% (B Grade),1,2,4,5,Short term (1–2 years diploma/freelance tracks),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Vocational & Technical
18,Arts / Humanities,FA / Humanities,70% – 80% (A Grade),2,3,4,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
19,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),4,3,1,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
20,Arts / Humanities,I.Com (Commerce),Above 80% (A-1 Grade),1,5,3,3,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Social Sciences & Law
21,Arts / Humanities,ICS (Intermediate in Computer Science),Below 60% (C Grade or lower),4,3,4,5,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
22,Science with Computer Science,FA / Humanities,60% – 70% (B Grade),2,4,1,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
23,Arts / Humanities,FA / Humanities,70% – 80% (A Grade),2,5,5,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
24,Arts / Humanities,FA / Humanities,Above 80% (A-1 Grade),3,5,4,1,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Social Sciences & Law
25,Arts / Humanities,FSc Pre-Engineering,70% – 80% (A Grade),2,5,3,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
26,Science with Biology,FA / Humanities,70% – 80% (A Grade),2,5,4,2,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Social Sciences & Law
27,Science with Biology,FSc Pre-Engineering,Above 80% (A-1 Grade),5,4,3,3,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
28,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),3,5,2,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
29,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),3,5,1,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
30,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),5,3,2,4,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
31,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),4,4,1,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
32,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),4,3,3,4,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
33,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),4,4,2,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
34,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),4,2,3,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Engineering & Architecture
35,Science with Computer Science,FSc Pre-Engineering,Above 80% (A-1 Grade),5,3,3,5,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Engineering & Architecture
36,Science with Biology,I.Com (Commerce),70% – 80% (A Grade),4,4,2,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
37,Science with Biology,FA / Humanities,60% – 70% (B Grade),3,2,3,4,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
38,Arts / Humanities,I.Com (Commerce),70% – 80% (A Grade),2,4,2,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
39,Arts / Humanities,I.Com (Commerce),70% – 80% (A Grade),1,5,3,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Social Sciences & Law
40,Science with Biology,FSc Pre-Engineering,Above 80% (A-1 Grade),5,4,2,5,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
41,Science with Biology,FA / Humanities,60% – 70% (B Grade),1,5,3,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Social Sciences & Law
42,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),4,2,4,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
43,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),1,5,4,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Social Sciences & Law
44,Science with Biology,ICS (Intermediate in Computer Science),60% – 70% (B Grade),5,2,4,5,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
45,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),4,5,3,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
46,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),3,3,2,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
47,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),5,2,2,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
48,Arts / Humanities,I.Com (Commerce),60% – 70% (B Grade),2,3,5,4,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
49,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),2,5,1,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
50,Science with Biology,I.Com (Commerce),60% – 70% (B Grade),2,5,2,3,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
51,Science with Computer Science,I.Com (Commerce),60% – 70% (B Grade),3,3,3,5,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
52,Arts / Humanities,FA / Humanities,70% – 80% (A Grade),3,5,1,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
53,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),3,3,1,3,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
54,Science with Computer Science,I.Com (Commerce),70% – 80% (A Grade),3,3,3,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
55,Arts / Humanities,I.Com (Commerce),70% – 80% (A Grade),2,4,2,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
56,Science with Biology,FSc Pre-Engineering,60% – 70% (B Grade),4,3,3,3,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
57,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),5,4,2,3,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
58,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),3,4,1,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
59,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),2,3,1,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
60,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),5,2,2,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
61,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),4,4,3,4,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
62,Science with Biology,FA / Humanities,70% – 80% (A Grade),4,5,2,1,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
63,Science with Computer Science,ICS (Intermediate in Computer Science),60% – 70% (B Grade),3,4,2,3,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
64,Arts / Humanities,FSc Pre-Medical,70% – 80% (A Grade),1,5,2,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Social Sciences & Law
65,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),5,2,3,3,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
66,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),3,5,3,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
67,Science with Computer Science,FSc Pre-Engineering,Above 80% (A-1 Grade),5,3,3,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Engineering & Architecture
68,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),2,3,2,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
69,Science with Biology,FSc Pre-Engineering,Above 80% (A-1 Grade),5,3,2,5,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
70,Arts / Humanities,FSc Pre-Medical,60% – 70% (B Grade),2,5,3,1,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Social Sciences & Law
71,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),4,3,3,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
72,Arts / Humanities,FA / Humanities,Above 80% (A-1 Grade),1,5,4,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Social Sciences & Law
73,Science with Computer Science,FSc Pre-Engineering,Above 80% (A-1 Grade),4,1,2,3,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
74,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),2,5,1,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
75,Arts / Humanities,ICS (Intermediate in Computer Science),70% – 80% (A Grade),1,5,4,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
76,Arts / Humanities,FA / Humanities,Below 60% (C Grade or lower),2,1,4,4,Short term (1–2 years diploma/freelance tracks),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Vocational & Technical
77,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),5,5,2,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
78,Science with Biology,I.Com (Commerce),70% – 80% (A Grade),3,4,3,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
79,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),4,5,3,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
80,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),3,5,1,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
81,Arts / Humanities,FA / Humanities,60% – 70% (B Grade),2,5,4,3,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
82,Arts / Humanities,I.Com (Commerce),70% – 80% (A Grade),3,5,2,1,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
83,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),3,3,1,3,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
84,Science with Computer Science,ICS (Intermediate in Computer Science),Above 80% (A-1 Grade),3,3,2,4,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
85,Science with Biology,FSc Pre-Engineering,Above 80% (A-1 Grade),4,4,2,5,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
86,Science with Computer Science,I.Com (Commerce),70% – 80% (A Grade),3,4,3,4,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
87,Arts / Humanities,FA / Humanities,70% – 80% (A Grade),3,5,3,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
88,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),4,3,3,3,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
89,Science with Biology,I.Com (Commerce),70% – 80% (A Grade),2,4,4,1,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Social Sciences & Law
90,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),3,1,2,4,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
91,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),3,4,1,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
92,Science with Computer Science,I.Com (Commerce),60% – 70% (B Grade),2,2,4,4,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
93,Science with Biology,I.Com (Commerce),70% – 80% (A Grade),2,4,2,3,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
94,Science with Biology,I.Com (Commerce),70% – 80% (A Grade),2,3,3,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
95,Arts / Humanities,FA / Humanities,Above 80% (A-1 Grade),3,4,4,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
96,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),4,4,3,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
97,Science with Biology,FA / Humanities,70% – 80% (A Grade),3,5,1,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
98,Science with Computer Science,I.Com (Commerce),60% – 70% (B Grade),4,3,3,4,Short term (1–2 years diploma/freelance tracks),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Vocational & Technical
99,Arts / Humanities,FA / Humanities,60% – 70% (B Grade),2,3,5,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
100,Arts / Humanities,FSc Pre-Medical,Above 80% (A-1 Grade),2,5,3,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Social Sciences & Law
101,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),3,4,2,5,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
102,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),4,5,3,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
103,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),4,3,1,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
104,Science with Biology,ICS (Intermediate in Computer Science),Above 80% (A-1 Grade),4,3,3,4,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Engineering & Architecture
105,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),2,3,1,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
106,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),5,3,2,4,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
107,Arts / Humanities,ICS (Intermediate in Computer Science),Below 60% (C Grade or lower),3,2,3,3,Short term (1–2 years diploma/freelance tracks),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Vocational & Technical
108,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),4,5,2,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
109,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),5,3,1,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
110,Science with Biology,FA / Humanities,60% – 70% (B Grade),1,5,4,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
111,Arts / Humanities,FA / Humanities,60% – 70% (B Grade),1,5,4,2,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
112,Arts / Humanities,FA / Humanities,70% – 80% (A Grade),1,5,3,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
113,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),5,3,3,4,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
114,Science with Biology,ICS (Intermediate in Computer Science),70% – 80% (A Grade),5,2,3,5,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
115,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),3,2,2,3,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
116,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),5,3,2,4,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
117,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),4,4,1,3,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
118,Science with Computer Science,FSc Pre-Engineering,Above 80% (A-1 Grade),4,2,4,5,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
119,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),3,2,3,3,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
120,Arts / Humanities,FA / Humanities,Above 80% (A-1 Grade),2,5,4,1,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Social Sciences & Law
121,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),4,4,2,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
122,Arts / Humanities,FA / Humanities,Above 80% (A-1 Grade),2,5,3,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Social Sciences & Law
123,Arts / Humanities,FA / Humanities,70% – 80% (A Grade),3,5,5,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
124,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),4,3,1,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
125,Arts / Humanities,I.Com (Commerce),70% – 80% (A Grade),3,5,3,1,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
126,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),5,1,2,2,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
127,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),3,3,1,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
128,Arts / Humanities,FA / Humanities,60% – 70% (B Grade),1,5,5,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
129,Science with Computer Science,I.Com (Commerce),60% – 70% (B Grade),2,2,3,5,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
130,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),4,5,1,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
131,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),4,5,1,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
